number,name,address,phone,gos_reestr_code,website,IIN,BIN,gosreestr_link,statsnet_link,city,system_score,Good,Bad,user_score
TK-0312,TENIZ LIFE TOUR,"Астана ул. Аманжол Болекпаева, дом 14",+77475764288,KZ16UWG00005077,http://www.tenizlifetour.com,,,,https://statsnet.co/search/kz/TENIZ%20LIFE%20TOUR,Астана,77,,,3.13
TK-0314,ТА OCEAN LOVE,"Астана г.Нур-Султан, улица Сыганак 54А, офис 803",+77781024673,KZ36UWG00005105,http://oceanlove.kz,,,,https://statsnet.co/search/kz/ТА%20OCEAN%20LOVE,Астана,77,,,1.79
TK-0317,ТОО Vinsent Travel,Астана ул. Туран 43/1,+77024923878,KZ38UWG00001965,,,,,https://statsnet.co/search/kz/ТОО%20Vinsent%20Travel,Астана,67,,,3.57
TK-0322,Arrovana Tour,"Алматы пр. Абая д. 34/96, офис 95 ",87777954521 ,106967-1910-ТОО ,,,,,https://statsnet.co/search/kz/Arrovana%20Tour,Алматы,67,,,2.25
TK-0323,ИП Utour,Астана ТУРАН 34Б ОФИС НП12,87073486255,KZ28UWQ03527770,,,,,https://statsnet.co/search/kz/ИП%20Utour,Астана,67,,,3.54
TK-0326,Ken Tour,"Астана Сыганак 24а,офис 803",+77016667267,10100563786095,,,,,https://statsnet.co/search/kz/Ken%20Tour,Астана,67,,,3.57
TK-0328,Турагентство Казына,Павлодар Академика Сатпаева 38,+77015059050,TA-2216,,,,,https://statsnet.co/search/kz/Турагентство%20Казына,Павлодар,67,,,2.78
TK-0329,Альмакс тур (Almax tour),"Астана Кабанбай батыра, 14, офис 4",+77011879986,KZ68UWG00004238,,,,,https://statsnet.co/search/kz/Альмакс%20тур%20(Almax%20tour),Астана,67,,,2.82
TK-0330,М-Эдженси,Алматы микр 11 дом 4 оф 115,+7 727 303 1200,930,,,,,https://statsnet.co/search/kz/М-Эдженси,Алматы,67,,,4.12
TK-0331,GranTurismo,"Павлодар ул. ак. Сатпаева, д. 71, оф. 301",+77768081414,ТА-215 от 12.02.2016,http://www.granturismo.kz,,,,https://statsnet.co/search/kz/GranTurismo,Павлодар,77,,,4.31
TK-0333,ТОО Алмаз тур,Астана улица Достык 4,+77758889732,KZ20UWG00000640,,,,,https://statsnet.co/search/kz/ТОО%20Алмаз%20тур,Астана,67,,,2.1
TK-0334,BekTour,"Астана ул. Кравцова 2, 43В",87027300011,KZ96UWG00004801,,,,,https://statsnet.co/search/kz/BekTour,Астана,67,,,2.82
TK-0335,#traveler,"Караганда пр. Бухар - Жырау 75Г, кабинет 210",87008882727,KZ14UWG00005307,https://www.instagram.com/traveler_kz_/,,,,https://statsnet.co/search/kz/#traveler,Караганда,77,,,1.91
TK-0336,TRAVEL LIFE,"Астана г. Нур-Султан, р-н Сарыарка, м-н Самал, 11, этаж 2","+7(7172)269055, +7",03-14/22735-И,,,,,https://statsnet.co/search/kz/TRAVEL%20LIFE,Астана,67,,,3.12
TK-0337,TRAVEL LIFE,"Астана г. Нур-Султан, р-н Сарыарка, м-н Самал, 11, этаж 2","+7(7172)269055, +7",15-08-11/233,,,,,https://statsnet.co/search/kz/TRAVEL%20LIFE,Астана,67,,,2.3
TK-0338,ТОО АИДА ТРАВЕЛ,Алматы Казыбек Би 117 офис 103,+77788676767,KZ40UWG00004645,,,,,https://statsnet.co/search/kz/ТОО%20АИДА%20ТРАВЕЛ,Алматы,67,,,4.04
TK-0339,IV Travel ,Алматы Назарбаева 88 офис 12,+7 771 412 33 88,KZ89UWG00006091,https://instagram.com/iv_travel_kz?igshid=YmMyMTA2M2Y=,,,,https://statsnet.co/search/kz/IV%20Travel,Алматы,77,,,3.0
TK-0340,MarkTravel,"Павлодар ул. Генерала Дуйсенова 106,офис 311",87021125779,KZ73UWG00000268,,,,,https://statsnet.co/search/kz/MarkTravel,Павлодар,67,,,2.5
TK-0341,ТОО Viva Travel,Актобе ул. 101 стрелковой бригады 5г,+77015528887,0011560,,,,,https://statsnet.co/search/kz/ТОО%20Viva%20Travel,Актобе,67,,,1.7
TK-0342,ТОО Almatravel2017,"Астана Кунаева 29/1, отель Дипломат, 10 этаж, кабинет 4/1",+77783878380,10100570162508,,,,,https://statsnet.co/search/kz/ТОО%20Almatravel2017,Астана,67,,,3.06
TK-0343,ABS Travel,"Актобе г.Актобе , ул.Абулхаирхана 67 А",+77081599093,№ KZ30UWQ02460831,https://instagram.com/abs__travel?igshid=NmNmNjAwNzg=,,,,https://statsnet.co/search/kz/ABS%20Travel,Актобе,77,,,1.73
TK-0344,ITraveller,"Астана Сыганак 54а, БЦ А, офис 803",+7 (707) 282-11-06,KZ17UWQ03950015,http://www.itraveller.kz,,,,https://statsnet.co/search/kz/ITraveller,Астана,77,,,1.79
TK-0345,TOO SUN LIVE,Алматы Сейфуллина 459 офис 1,+77476687819,KZ13UWG00000960,http://www.sunlive.kz,,,,https://statsnet.co/search/kz/TOO%20SUN%20LIVE,Алматы,77,,,4.41
TK-0346,NUKA TRAVEL,"Алматы Казыбек би, 51",+77019595999,ТА-289,http://nuka.kz,,,,https://statsnet.co/search/kz/NUKA%20TRAVEL,Алматы,77,,,1.62
TK-0347, Love travel,Актобе улица Газизы Жубановой 3 Ж,+77017216597,5293,,,,,https://statsnet.co/search/kz/%20Love%20travel,Актобе,67,,,3.08
TK-0348, TravelBox,"Астана ул.Достык 18, офис 32.8, 3 этаж",+77011362976,KZ30UWG00005795,,,,,https://statsnet.co/search/kz/%20TravelBox,Астана,67,,,3.17
TK-0349,I’MAX Travel,"Астана ул.Сыганак 54а,701",+77011441154,KZ80UWG00006253,,,,,https://statsnet.co/search/kz/I’MAX%20Travel,Астана,67,,,3.76
TK-0350,Beautiful tour,"Астана г.Астана, ул.Кумисбекова 3а-63",+77076662039,KZ60UWG00006322,,,,,https://statsnet.co/search/kz/Beautiful%20tour,Астана,67,,,3.62
TK-0351,Новый Мир,"Астана ул. Алматы 2 , ЖК Торонто, офис 31",+77021095737,ТА-217,http://novyi-mir.kz/,,,,https://statsnet.co/search/kz/Новый%20Мир,Астана,77,,,2.82
TK-0352,ТОО LION TOUR,"Атырау УЛ. У.МАХАМБЕТА 134А, БЦ ЕВРАЗИЯ 2 ЭТАЖ, 202 ОФИС",+77122303792,10100374294665,,,,,https://statsnet.co/search/kz/ТОО%20LION%20TOUR,Атырау,67,,,3.9
TK-0353,ONLINE TOUR,"Алматы г.Алматы , ул Сейфуллина 589а , офис 66 ",+77776699511,№ KZ58UWG00005000,http://ONLINETOUR.KZ,,,,https://statsnet.co/search/kz/ONLINE%20TOUR,Алматы,77,,,2.03
TK-0354,ТОО An Mare Travel,"Астана пр. Женис 72, 1 этаж",+7-(777)-396-06-69,KZ40UWG00005615,https://anmaretravel.kz/,,,,https://statsnet.co/search/kz/ТОО%20An%20Mare%20Travel,Астана,77,,,2.88
TK-0356,Aidis.Travel,Алматы г Алматы улица Навои 208/6 офис 7,+77477779647,KZ23UWG00005533,https://aidistravel.wixsite.com/my-site-6/home,,,,https://statsnet.co/search/kz/Aidis.Travel,Алматы,77,,,1.98
TK-0358,ТОО Platinum Travel Kazakhstan,"Алматы РК, г. Алматы, ул. Наурызбай батыра 99/1",+7 (702) 350-80-00,11381-E,,,,,https://statsnet.co/search/kz/ТОО%20Platinum%20Travel%20Kazakhstan,Алматы,67,,,2.98
TK-0359,ТОО AziraTravel,"Алматы ул Жибек Жолы 50,офис 417/2,БЦ квартал",8 707 6091033,KZ35UWG00006481,,,,,https://statsnet.co/search/kz/ТОО%20AziraTravel,Алматы,67,,,2.21
TK-0360,TA TRAVEL,Астана ул. Габдулина 17/1 кв 130,+7(701)386-34-38,KZ45UWG00006301,http://@ta_travel_kz,,,,https://statsnet.co/search/kz/TA%20TRAVEL,Астана,77,,,3.73
TK-0361,D&A travel,Астана ул.Керей Жанибек хандар 14/2,87750456565,KZ51UWG00001149,,,,,https://statsnet.co/search/kz/D&A%20travel,Астана,67,,,3.09
TK-0362,Туристическое агентство Seruen De,Алматы ул.Құмжарған 7,87088377703,KZ71UWG00006512,http://@seruen_de_tour,,,,https://statsnet.co/search/kz/Туристическое%20агентство%20Seruen%20De,Алматы,77,,,4.32
TK-0363,Тур. агентство ПаспорТу,"Алматы Казыбек би 65,6 этаж,606 кабинет",7 (702) 503-33-27,KZ18UWQ03630576,http://@pasporty.kz,,,,https://statsnet.co/search/kz/Тур.%20агентство%20ПаспорТу,Алматы,77,,,1.75
TK-0364,Турагентство РОБИНЗОНТУР,"Алматы г.Алматы, ул. Кунаева дом 49 № 220 ",+7 (727)2735406,ТА-151,,,,,https://statsnet.co/search/kz/Турагентство%20РОБИНЗОНТУР,Алматы,67,,,2.31
TK-0365,ТОО «DIA TRAVELS»,"Алматы ул. Егизбаева 54Б, офис 23",+77760042864,KZ26UWG00002084,,,,,https://statsnet.co/search/kz/ТОО%20«DIA%20TRAVELS»,Алматы,67,,,1.99
TK-0366,Турагенство Take Me to Travel,"Астана ул. 38, 27/1-118",87768980211,KZ33UWG00006614,http://takemetotravel.kz,,,,https://statsnet.co/search/kz/Турагенство%20Take%20Me%20to%20Travel,Астана,77,,,3.29
TK-0367,OrangeTravel.kz,"Астана  ул. Майлина, 19, офис 105, БЦ Таймас",87057558898,KZ50UWG00004368,http://Инстаграмм orangetravel.kz,,,,https://statsnet.co/search/kz/OrangeTravel.kz,Астана,77,,,3.92
TK-0368,ТОО Кубыла -Трэвел,Астана Косшыгулулы 13/6,7 (707) 592-47-86,KZ05UWG00006245,,,121140012707,https://www.goszakup.gov.kz/ru/registry/show_supplier/436666,https://statsnet.co/search/kz/ТОО%20Кубыла%20-Трэвел,Астана,90,,,3.98
TK-0369,Турагентство ManGo,Усть-Каменогорск Абая 5/2,87056781326,KZ37UWG00006639,,,,,https://statsnet.co/search/kz/Турагентство%20ManGo,Усть-Каменогорск,67,,,2.06
TK-0370,ТОО Family Holidays ,Астана Кенесары дом 1 кв 44,+77717739812,10100375498670,,,,,https://statsnet.co/search/kz/ТОО%20Family%20Holidays,Астана,67,,,2.62
TK-0371,Туристическое агентство Ближе к морю,Кокшетау проспект Н.Назарбаева 65 А кв.2 (офис),+7 (771) 060 73 37,KZ08UWG00003960,http://BLIZHE_K_MORYU_KZ,,,,https://statsnet.co/search/kz/Туристическое%20агентство%20Ближе%20к%20морю,Кокшетау,77,,,4.2
TK-0372,Туристическое агентство  SAYAtravel,Астана ул. Сыганак 54а,87018031803,KZ86UWG00005466,,,,,https://statsnet.co/search/kz/Туристическое%20агентство%20%20SAYAtravel,Астана,67,,,1.97
TK-0373,ТОО Azimut Travel,"Алматы  ул. Шевченко 118, угол ул. Байтурсынова. БЦ Алтын Гасыр, 1 этаж, 111 офис.","+77273562826, +770",ТА-2033,http://www.azimut-travel.kz,,130740023288,https://www.goszakup.gov.kz/ru/registry/show_supplier/397344,https://statsnet.co/search/kz/ТОО%20Azimut%20Travel,Алматы,100,,,2.19
TK-0374,ТОО SULTAN TRAVEL AGENCY ,Алматы Ауэзова 112,+77759206609,10100624425601,,,,,https://statsnet.co/search/kz/ТОО%20SULTAN%20TRAVEL%20AGENCY,Алматы,67,,,1.74
TK-0375,O2 Travel,Караганда ул.Гоголя 54-103,+77058782266,KZ31UWG00005389,https://www.instagram.com/o2_travels/,,,,https://statsnet.co/search/kz/O2%20Travel,Караганда,77,,,2.43
TK-0376,Туристское агентство DINAR,Щучинск ул. Едомского 34,87011364776,TA-1747,,740916450036,,https://www.goszakup.gov.kz/ru/registry/show_supplier/233328,https://statsnet.co/search/kz/Туристское%20агентство%20DINAR,Щучинск,90,,,2.6
TK-0377,Центр образования и туризма BESTKZ,"Костанай Тәуелсіздік 70, 4",87053041562,ТА-242 от 08 апреля 2016г.,http://besttur.kz/,,,,https://statsnet.co/search/kz/Центр%20образования%20и%20туризма%20BESTKZ,Костанай,77,,,2.12
TK-0378,ТОО DEMalu TURaly,Астана Сарайшык-7,+77027051100,KZ60UWG00001472,,,,,https://statsnet.co/search/kz/ТОО%20DEMalu%20TURaly,Астана,67,,,1.76
TK-0379,NS.TRAVELS,Алматы Байсерке улица Аркабая 67 ссылка,8706 672 17 07 ,10100626470312,https://ns-travels-kz.nethouse.ru/?fbclid=PAAaY1XUxKtMoGmISZk7_b,,,,https://statsnet.co/search/kz/NS.TRAVELS,Алматы,77,,,3.13
TK-0380,May Tour,Астана ул. Кокжазык 12 кв 1,87054647575,KZ08UWG00006385,,,,,https://statsnet.co/search/kz/May%20Tour,Астана,67,,,4.01
TK-0381,TOO Safi travel,"Алматы 050000, Республика Казахстан, г.Алматы, Назарбаева 65., 6 этаж, офис 601 ",+77013636868,KZ04UWG00005487,,,,,https://statsnet.co/search/kz/TOO%20Safi%20travel,Алматы,67,,,2.61
TK-0382,ИП ASMART,"Кызылорда ул.Роза Багланова, дом 35.",87013996323,KZ49UWG00006132,,910401401074,,https://www.goszakup.gov.kz/ru/registry/show_supplier/335572,https://statsnet.co/search/kz/ИП%20ASMART,Кызылорда,90,,,2.42
TK-0383,JOLDAS ,"Алматы ул. Кунаева 43, офис 331",87767536009,KZ47UWG00006847,,,180440034112,https://www.goszakup.gov.kz/ru/registry/show_supplier/285361,https://statsnet.co/search/kz/JOLDAS,Алматы,90,,,2.13
TK-0384,Казтур,Алматы пр Аль Фараби 120/48,+7 727 346 80 82,KZ37UWG00005184,https://kaztour.kz/,,010140004863,https://www.goszakup.gov.kz/ru/registry/show_supplier/551094,https://statsnet.co/search/kz/Казтур,Алматы,100,16.0,5.0,3.8095238095238093
TK-0385,BBTravel.kz,"Алматы г.Алматы, ул. Ади Шарипова, 91, оф 23",+77009660548,№ KZ69UWG00003347,http://bbtravel.kz,,,,https://statsnet.co/search/kz/BBTravel.kz,Алматы,77,,,3.87
TK-0386,Агентство Nash Tour,Актау 16мкр 90 дом 150 офис,+77073522944,KZ38TWQ01003215,http://travel.nash_tour_aktau,,,,https://statsnet.co/search/kz/Агентство%20Nash%20Tour,Актау,77,,,4.28
TK-0387,ТОО Академия Путешествий Sayakhat Academy,Алматы Зенкова 59 офис 137,+77003508030,KZ220001191339,https://touronline.kz,,,,https://statsnet.co/search/kz/ТОО%20Академия%20Путешествий%20Sayakhat%20Academy,Алматы,77,,,1.96
TK-0388,ИП HOT TRAVEL,"Уральск пр. Абая, 121, офис 1К",+77789515429,KZ14TWQ01011989,,,,,https://statsnet.co/search/kz/ИП%20HOT%20TRAVEL,Уральск,67,,,1.51
TK-0389,АО «Авиакомпания «SCAT»,"Шымкент Республика Казахстан, г.Шымкент, 160020 Абайский район, микр-н Кызыл Жар, строение 28/4",87252998880,KZ66UWG00004662,https://sundayairlines.kz/,,,,https://statsnet.co/search/kz/АО%20«Авиакомпания%20«SCAT»,Шымкент,77,,,3.72
TK-0390,Турагентство Unity Express,Алматы пр.Достык 272,+7754499775,KZ94UWG00006001,http://uex.kz,,,,https://statsnet.co/search/kz/Турагентство%20Unity%20Express,Алматы,77,,,3.04
TK-0391,LIFE TOUR,Павлодар ул.Ак.Сатпаева 29,"8(7182)222040, 8 7",KZ13UWG00007071,https://www.instagram.com/lifetour_pavlodar/,,,,https://statsnet.co/search/kz/LIFE%20TOUR,Павлодар,77,,,2.74
TK-0392,Airys travel,Алматы Ақсай 3а дом 87 0этаж 5офис,87081113621,KZ34UWG00005723,,,,,https://statsnet.co/search/kz/Airys%20travel,Алматы,67,,,2.98
TK-0393,Paradise Tour,"Актюбинск ул. Маресьева, д.99, каб.422",+7 (747)505-23-32,KZ64TWQ01991274,,,,,https://statsnet.co/search/kz/Paradise%20Tour,Актюбинск,67,,,4.0
TK-0394,A&J,Астана Kabaanbay batyra 42,+77774590520,KZ75UWQ00979898,http://anjtravel.tilda.ws,,,,https://statsnet.co/search/kz/A&J,Астана,77,,,3.29
TK-0395,Nemo Tour,"Алматы РК, 050000, город Алматы, Алмалинский район, улица Досмухамедова, дом 14, кв. 10",+77085793472,KZ67UWG00006390,https://www.instagram.com/nemo_tour.kz/,,,,https://statsnet.co/search/kz/Nemo%20Tour,Алматы,77,,,1.73
TK-0396,ТОО Salem Travel,"Алматы микрорайон Абай,ул Алтынорда 6/45 2 корпус",+77024870009,KZ25UWG00007146,,,200140026870,https://www.goszakup.gov.kz/ru/registry/show_supplier/684021,https://statsnet.co/search/kz/ТОО%20Salem%20Travel,Алматы,90,,,3.26
TK-0397,Fine Travel,Семей г. Семей пр. Шакрима 67\1,+77076587131,KZ90UWG00006558,http://@finetravel.kz,,,,https://statsnet.co/search/kz/Fine%20Travel,Семей,77,,,4.26
TK-0398,ИП ТК ОДИССЕЙ,Караганда пр. Назарбаева 19 оф.2,8 778 944 8101,KZ35UWG00003862,,,,,https://statsnet.co/search/kz/ИП%20ТК%20ОДИССЕЙ,Караганда,67,,,3.05
TK-0399,Жан-Ель.kz,Алматы Алматы,+7 (707) 537-20-17,KZ68UWG00004044,,,,,https://statsnet.co/search/kz/Жан-Ель.kz,Алматы,67,,,3.47
TK-0400,ТОО Aydana tour,Астана Сыганак 58,87765335351,KZ89UWG00005606,,,,,https://statsnet.co/search/kz/ТОО%20Aydana%20tour,Астана,67,,,2.97
TK-0401,iTravels.kz. турагентство,"Алматы г.Алматы, ул.Толе би, 151 (угол ул.Байзакова) ",+77052775922,KZ04UWG00004226,http://www.itravels.kz,,,,https://statsnet.co/search/kz/iTravels.kz.%20турагентство,Алматы,77,,,3.0
TK-0402,Турагентство ПАСПАРТУ,"Алматы пр.Аль-Фараби 7 к/5а, 3эт., оф.120",+77788888910,№ KZ80TWQ00146337,https://www.instagram.com/paspartu.kz/,,,,https://statsnet.co/search/kz/Турагентство%20ПАСПАРТУ,Алматы,77,,,2.6
TK-0404,SaparLa Travel,"Астана Юр. адрес: РК, г. Астана, Калдаякова 23А, 30, Офис: Сығанақ 54А, Бизнес центр А, 704 (временно)",+77000957598,№KZ60UWG00002927,,,,,https://statsnet.co/search/kz/SaparLa%20Travel,Астана,67,,,4.03
TK-0405,Tour Expert,"Алматы ул.Пятницкого дом 50, кв.26",+77771606039,KZ78TWQ01774227,http://tour-expert.kz/,,,,https://statsnet.co/search/kz/Tour%20Expert,Алматы,77,,,3.48
TK-0406,Bal Voyage ,Астана пр. Мангилик ел 8 офис 206,+7 (777) 001-04-70,KZ23000245081,,,,,https://statsnet.co/search/kz/Bal%20Voyage,Астана,67,,,4.36
TK-0407,Товарищество с ограниченной ответственностью OPEN TOUR,"Алматы Республика Казахстан, г. Алматы, Алмалинский район, ул. Муканова, д.113, офис 306",87014180185,KZ63UWG00006462,https://opentour.kz/,,,,https://statsnet.co/search/kz/Товарищество%20с%20ограниченной%20ответственностью%20OPEN%20TOUR,Алматы,77,,,3.29
TK-0408,ТОО GT,Астана Динмухамед Кунаев 35,"+7-775-117-78-83, ",KZ93UWG00004855,http://@globus_travel7,,,,https://statsnet.co/search/kz/ТОО%20GT,Астана,77,,,2.69
TK-0409,Sacvoyagetur,Астана Беимбет Майлин 2/1,87015127971,KZ48UWQ02759267,,,,,https://statsnet.co/search/kz/Sacvoyagetur,Астана,67,,,3.74
TK-0410,WestWind,"Астана г. Астана, ул. Сарыарка 1, оф. 24",+77070629252,KZ46UWG00004149,,,,,https://statsnet.co/search/kz/WestWind,Астана,67,,,2.87
TK-0411,Бюро путешествий Onur Travel KZ,"Уральск Микрорайон Женис, 3, ТРЦ Asia Mall, 1 этаж, офис 113",+7 7112 24 47 02,KZ94UWG00001151,http://onurtravel.kz,,,,https://statsnet.co/search/kz/Бюро%20путешествий%20Onur%20Travel%20KZ,Уральск,77,,,3.16
TK-0412,Бюро путешествий Onur Travel Shymkent,"Шымкент пр.Байдибек би, 25, ТРК Nauryz Park, 2 этаж",+77773020909,KZ43UWG00006434,http://onurtravel.kz,,,,https://statsnet.co/search/kz/Бюро%20путешествий%20Onur%20Travel%20Shymkent,Шымкент,77,,,2.13
TK-0413,Бюро путешествий Onur Travel Aktobe,Актобе ул. Оспанова 58-91,+77072024111,KZ76UWG00006519,http://onurtravel.kz,,,,https://statsnet.co/search/kz/Бюро%20путешествий%20Onur%20Travel%20Aktobe,Актобе,77,,,4.09
TK-0414,ТОО Khalid Travel,Алматы ул.Байзакова 125/185 606 офис,+77714666196,10100640282118,,,,,https://statsnet.co/search/kz/ТОО%20Khalid%20Travel,Алматы,67,,,4.39
TK-0415,Радуга,Алматы Курмангазы 48А,87000838813,№ KZ35UWG00005220,https://raduga-travel.kz/,,,,https://statsnet.co/search/kz/Радуга,Алматы,77,,,2.25
TK-0416,Турагентство Полетели с нами,"Актау Мангистауская область, г. Актау, 1 микрорайон, дом №12/1",8 708 671 66 96,KZ53UWG00001598,http://инстаграм @poletelisnamiaktau.kz,,,,https://statsnet.co/search/kz/Турагентство%20Полетели%20с%20нами,Актау,77,,,3.52
TK-0417,Бюро Вашего Путешествия,Костанай Аль Фараби дом 111 офис 1,8 (7142) 392411  +,KZ37UWG00002662,http://www.bvp.kz,,,,https://statsnet.co/search/kz/Бюро%20Вашего%20Путешествия,Костанай,77,,,1.89
TK-0418,METRO TRAVEL,"Актау г.Актау, 28мкр, тц Метрополис, 30 офис",+77786073145,KZ45UWG00007562,,,,,https://statsnet.co/search/kz/METRO%20TRAVEL,Актау,67,,,3.13
TK-0419, Nazar Travel,Кандыагаш Микрорайон Жастық дом 14 кв 13,+77777451080,KZ21UWG00006927,https://www.instagram.com/nazartravel.kz/?hl=ru,,,,https://statsnet.co/search/kz/%20Nazar%20Travel,Кандыагаш,77,,,3.64
TK-0420,ТОО Ara Travel,Астана г.Астана ул. Уалиханова д.12 кв.132,+77019998857,KZ87UWG00000986,,,,,https://statsnet.co/search/kz/ТОО%20Ara%20Travel,Астана,67,,,4.07
TK-0421,Чемоданное настроение,"Астана БЦ Алтынорда,офис атриум 2",7 (701) 514-90-34,ТА-1930,,,,,https://statsnet.co/search/kz/Чемоданное%20настроение,Астана,67,,,1.78
TK-0423,Guide Travel,"Астана Казахстан, город Астана, р-н Алматы, Пр-т Б. Момышұлы, 12б, индекс 010010",+77007779100,KZ34UWG00007372,http://www.gidtravel.kz,,,,https://statsnet.co/search/kz/Guide%20Travel,Астана,77,,,2.41
TK-0424,Mia Travel,"Алматы ул.Клочкова 66,каб 411,413",+7 (777) 730-02-77,KZ13UWF00000750,,,,,https://statsnet.co/search/kz/Mia%20Travel,Алматы,67,,,3.1
TK-0425,TOURHOUSE.KZ,Шымкент Казыбек би 51,+77778858885,KZ01UWG00003989,https://tourhouse.kz/,,,,https://statsnet.co/search/kz/TOURHOUSE.KZ,Шымкент,77,,,1.91
TK-0426,Альдана,Атырау улица Махамбета 107 - 42,87017392433,KZ21UWG00005666,https://aldanatravelturagent.taplink.ws,,,,https://statsnet.co/search/kz/Альдана,Атырау,77,,,2.62
TK-0427,ARBUZ TOUR,"Астана ул.Иманбаевой, д. 2-29",+77015139430,KZ56UWG00005812,,,,,https://statsnet.co/search/kz/ARBUZ%20TOUR,Астана,67,,,1.53
TK-0428,Турагентство CHUNGA-CHANGA.PRO,Астана Бейбитшилик 16,+7(701)266-41-28,KZ33UWG00005062,,,,,https://statsnet.co/search/kz/Турагентство%20CHUNGA-CHANGA.PRO,Астана,67,,,2.83
TK-0429,ТОО GTS Best Travel,Экибастуз Павлодарская область г.Экибастуз ул.Мухтара Ауэзова 21/1 - 65,+77015245071,Справка о государственной регист,,,,,https://statsnet.co/search/kz/ТОО%20GTS%20Best%20Travel,Экибастуз,67,,,1.53
TK-0430,Pantera Travel,"Костанай мкр-н Юбилейный,дом 6,кв 12",+77081056598,KZ96UWG00005383,https://www.instagram.com/pantera.travel.tour/?ysclid=lgaeshz0zq,,,,https://statsnet.co/search/kz/Pantera%20Travel,Костанай,77,,,3.98
TK-0431,Vega tours,"Шымкент улица Айбергенова, дом 1, кв.81",+77776017669,ТА-1948,,,,,https://statsnet.co/search/kz/Vega%20tours,Шымкент,67,,,2.91
TK-0432,Diss Travel,Астана Туран 55,+77477690699,№KZ11UWQ04688099,,,,,https://statsnet.co/search/kz/Diss%20Travel,Астана,67,,,3.4
TK-0433,SeaView Travel,Астана ул.Букар жырау 36,+7 (777) 293-82-43,KZ26UWG00007419,http://@seaview_travel_kz,,,,https://statsnet.co/search/kz/SeaView%20Travel,Астана,77,,,3.1
TK-0435,GRAND,Алматы ул. Ауэзова 114,+77757272732,KZ65TWQ02658422,http://www.grandcorp.kz,,,,https://statsnet.co/search/kz/GRAND,Алматы,77,,,2.37
TK-0436,Lemon Travel,"Атырау Махамбет Утемисова 120а, офис 204",87079210200,KZ26UWG00004606,,,,,https://statsnet.co/search/kz/Lemon%20Travel,Атырау,67,,,2.73
TK-0437,Leyli Travel,"Тараз г. Тараз, пр.Толе Би 21 ",+77001136400,KZ42UWF00000713,,,,,https://statsnet.co/search/kz/Leyli%20Travel,Тараз,67,,,3.8
TK-0438,KEREMET-TOUR,"Караганда г.Караганда, пр. Н.Абдирова д 17-118",+77013466436,KZ85UWG00005193,http://keremet-tour.tilda.ws/,,,,https://statsnet.co/search/kz/KEREMET-TOUR,Караганда,77,,,1.66
TK-0439,GO BIZBEN,"Астана ул.Кордай, 85, нп.21",+7 (776) 335-23-66,KZ87TWG00003558,,,,,https://statsnet.co/search/kz/GO%20BIZBEN,Астана,67,,,2.6
TK-0440,OCEAN VIEW,Алматы г. Алматы,8701094454,KZ91UWG00006734,,,,,https://statsnet.co/search/kz/OCEAN%20VIEW,Алматы,67,,,3.7
TK-0441,Altymade Travel,"Алматы Республика Казахстан, г. Алматы, Микрорайон ЖЕТЫСУ-3, дом 24",+77073804421,KZ65UWG00003613,http://altymadetravel.kz,,,,https://statsnet.co/search/kz/Altymade%20Travel,Алматы,77,,,3.04
TK-0442,Altymade Travel,"Алматы Республика Казахстан, г. Алматы, улица Тулебаева, дом 49/1, офис 280",+77073804421,KZ31UWG00004516,http://altymadetravel.kz,,,,https://statsnet.co/search/kz/Altymade%20Travel,Алматы,77,,,4.18
TK-0443,ИП Bueno Travel,"Алматы Масанчи 26,офис 212",+77471432529,KZ55UWG00007091,https://buenotravel.kz/,,,,https://statsnet.co/search/kz/ИП%20Bueno%20Travel,Алматы,77,,,2.83
TK-0444,турагентство Paylesskz,"Актау г.Актау 28 мкр, 47 дом ЖК GRAND AVENUE, офис 7",+77753629677,KZ90UWG00005200,,,,,https://statsnet.co/search/kz/турагентство%20Paylesskz,Актау,67,,,2.03
TK-0445,Valenciaga travel,Астана Астана. Б.Майлина 13 -507,+77076744446,10100589002375,http:// valenciaga.kz,,,,https://statsnet.co/search/kz/Valenciaga%20travel,Астана,77,,,3.96
TK-0446,туристическое агентство DRIVE TRAVEL,Кокшетау ул. Абая 93 ТД Номад,+77784740109,KZ77UWQ02383646,https://instagram.com/drive_travel_kz?igshid=YmMyMTA2M2Y=,,,,https://statsnet.co/search/kz/туристическое%20агентство%20DRIVE%20TRAVEL,Кокшетау,77,,,2.7
TK-0447,Туристическое агентство «Поехали с Нами Темиртау»,"Темиртау г. Темиртау, б. Независимости 25, ТРЦ Аян-Пассаж, офис 234",+77019934168,KZ44UWG00003021,,,,,https://statsnet.co/search/kz/Туристическое%20агентство%20«Поехали%20с%20Нами%20Темиртау»,Темиртау,67,,,4.36
TK-0448,BAY SHATYR TRAVEL,Астана ул.Жетиген 13,87018378897,KZ87UWG00008164 от 24.04.2023г,http://www.bst01.kz,,,,https://statsnet.co/search/kz/BAY%20SHATYR%20TRAVEL,Астана,77,,,3.63
TK-0449,Travel KZ,"Алматы г.Алматы, Алмалинский район, ул. Шакарима, дом № 38",+7 (701) 555-67-76,KZ05UWG00007991,,,,,https://statsnet.co/search/kz/Travel%20KZ,Алматы,67,,,1.83
